province,ssp,horizon,mech,ml,n_sp,mech0,ml0,mech_ratio,ml_ratio,scope
Anhui,ssp245,2030,0.623589421480599,0.281254148982764,265,0.00585885978441261,0.00254866707529697,1.06435286800965,1.10353428154202,all rows
Anhui,ssp245,2050,0.809044112819054,0.162499997367257,265,0.00585885978441261,0.00254866707529697,1.38089004104775,0.637588168899314,all rows
Anhui,ssp245,2080,1.22087430602968,0.164313924219899,265,0.00585885978441261,0.00254866707529697,2.08380871185514,0.64470532778689,all rows
Anhui,ssp585,2030,0.649536316315472,0.310529253999088,265,0.00585885978441261,0.00254866707529697,1.10863946265373,1.21839865633649,all rows
Anhui,ssp585,2050,1.28909999343566,0.148373566961074,265,0.00585885978441261,0.00254866707529697,2.20025745771436,0.582161430181247,all rows
Anhui,ssp585,2080,11.9299291985492,0.140307016246776,265,0.00585885978441261,0.00254866707529697,20.3622029499469,0.550511353980699,all rows
Beijing,ssp245,2030,0.76795663198391,0.151823267733562,160,0.00604081167507574,0.00156269366070774,1.27128053859464,0.971548497002296,all rows
Beijing,ssp245,2050,1.12153564893816,0.148137596070228,160,0.00604081167507574,0.00156269366070774,1.85659760519533,0.947963121595676,all rows
Beijing,ssp245,2080,1.97981583971147,0.151454946053491,160,0.00604081167507574,0.00156269366070774,3.27740036637816,0.96919153037901,all rows
Beijing,ssp585,2030,0.842788652375694,0.145814884444917,160,0.00604081167507574,0.00156269366070774,1.39515796503477,0.933099609419789,all rows
Beijing,ssp585,2050,1.6488005450947,0.145683847540568,160,0.00604081167507574,0.00156269366070774,2.72943543646231,0.932261077162033,all rows
Beijing,ssp585,2080,10.9802222242068,0.11814745735137,160,0.00604081167507574,0.00156269366070774,18.1767332186682,0.756050020052307,all rows
Chongqing,ssp245,2030,0.453103844522558,0.2380566811781,295,0.00418327765707023,0.00273656594128964,1.08313117528013,0.869910268143998,all rows
Chongqing,ssp245,2050,0.608613349256851,0.147048224925884,295,0.00418327765707023,0.00273656594128964,1.45487199069424,0.537345812528042,all rows
Chongqing,ssp245,2080,1.02392491586128,0.143276395560321,295,0.00418327765707023,0.00273656594128964,2.44766185703865,0.52356273751182,all rows
Chongqing,ssp585,2030,0.483600392701334,0.260034208422748,295,0.00418327765707023,0.00273656594128964,1.15603226069394,0.950220875365436,all rows
Chongqing,ssp585,2050,1.03586616244775,0.144072034449506,295,0.00418327765707023,0.00273656594128964,2.47620704950582,0.526470172984798,all rows
Chongqing,ssp585,2080,8.40116729625305,0.14360194779159,295,0.00418327765707023,0.00273656594128964,20.0827389070245,0.524752375321591,all rows
Fujian,ssp245,2030,0.468981901543996,0.151057287427055,293,0.00386522955861847,0.00195224028507426,1.21333518341307,0.773763806545511,all rows
Fujian,ssp245,2050,0.822604564909381,0.16137924347885,293,0.00386522955861847,0.00195224028507426,2.12821658438161,0.82663617133949,all rows
Fujian,ssp245,2080,2.57311725573428,0.160002979349008,293,0.00386522955861847,0.00195224028507426,6.65708780477706,0.819586505679152,all rows
Fujian,ssp585,2030,0.523941451713738,0.172434236690221,293,0.00386522955861847,0.00195224028507426,1.35552479812094,0.883263387240583,all rows
Fujian,ssp585,2050,1.90231941244555,0.159010824553888,293,0.00386522955861847,0.00195224028507426,4.92162078240312,0.814504371053073,all rows
Fujian,ssp585,2080,27.093345819237,0.156945312326558,293,0.00386522955861847,0.00195224028507426,70.0950497463361,0.803924155886314,all rows
Gansu,ssp245,2030,0.702256140449073,0.190091188053976,258,0.00657812723485967,0.00197185563395529,1.06756241613508,0.964021831926292,all rows
Gansu,ssp245,2050,0.736404018513929,0.181255424273374,258,0.00657812723485967,0.00197185563395529,1.11947366206522,0.919212447159726,all rows
Gansu,ssp245,2080,0.837648469792752,0.156542207628792,258,0.00657812723485967,0.00197185563395529,1.27338441456981,0.793882700808011,all rows
Gansu,ssp585,2030,0.718627352020198,0.181111134272863,258,0.00657812723485967,0.00197185563395529,1.09244976018699,0.918480699875463,all rows
Gansu,ssp585,2050,0.891135307807299,0.170192710638801,258,0.00657812723485967,0.00197185563395529,1.35469454449722,0.863109386448418,all rows
Gansu,ssp585,2080,2.53190909240452,0.194862964457035,258,0.00657812723485967,0.00197185563395529,3.84898163566539,0.988221252618602,all rows
